indicador,ano,caminho_local,nome_local,nome_original,tipo,finalidade,dicionario_associado,url_oficial,url_historica_download,edicao_fonte,anos_disponiveis,observacao,sha256
IDEB,2007-2023,data/raw/ideb/divulgacao_regioes_ufs_ideb.xlsx,divulgacao_regioes_ufs_ideb.xlsx,não registrado no repositório,resultado agregado,workbook oficial com nome local estavel; fonte fisica identificada por SHA-256,não utilizado,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/ideb/resultados,https://download.inep.gov.br/ideb/resultados/divulgacao_regioes_ufs_ideb_2023.zip,arquivo fisico atual contem VL_OBSERVADO_2025,"2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023, 2025",A pagina oficial pode apontar para edicao posterior; a reproducao exata usa o arquivo local estavel e seu SHA-256.,ee173836cadb7d2cc8ac6cf8fc10b77aa70bb7191ca94169089b9e0d9b8c0bc4
PND,2025,data/raw/pnd/Dicionário_arquivos_variáveis_PND_2025.xlsx,Dicionário_arquivos_variáveis_PND_2025.xlsx,não registrado no repositório,dicionário,"interpretação de variáveis, códigos e áreas da PND",não se aplica,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/pnd,,,,,dcc59019462bed0478649c2f914cb132387379d190d18a7cd676327b7bef825e
PND,2025,data/raw/pnd/microdados2025_parametros_itens.xlsx,microdados2025_parametros_itens.xlsx,não registrado no repositório,arquivo auxiliar,parâmetros de itens preservados no Raw; não é fonte da fato analítica principal,não se aplica,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/pnd,,,,,e6524a0caa38812c2c54bb4c3d0ccd05f9ba30696baa22917d425584cbae1490
PND,2025,data/raw/pnd/microdados2025_pnd_arq1.txt,microdados2025_pnd_arq1.txt,não registrado no repositório,microdados,arquivo principal transformado na Bronze e na Silver da PND,Dicionário_arquivos_variáveis_PND_2025.xlsx,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/pnd,,,,,b15968a19e309bca6b63c6f6d7af094efdc13d900645dc7385872a6a50dd7baf
Rendimento Escolar,2007,data/raw/rendimento/TX RENDIMENTO UFS 2007.xls,TX RENDIMENTO UFS 2007.xls,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,492e0acfc54f8de363416d315042cb96def1392f632c0336fd6e10ca9cb399da
Rendimento Escolar,2008,data/raw/rendimento/TAXAS RENDIMENTO UF 2008.xls,TAXAS RENDIMENTO UF 2008.xls,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,8e65bab791168b30f9cb6d5370bd5d680551da83da62b61559ced324f1c269d8
Rendimento Escolar,2009,data/raw/rendimento/TAXAS RENDIMENTO UF 2009.xls,TAXAS RENDIMENTO UF 2009.xls,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,c887b2224a9c5336f1300f11a77b7f1f3820234ed3680328d4920a22ddf140aa
Rendimento Escolar,2010,data/raw/rendimento/TAXAS RENDIMENTO UF 2010.xls,TAXAS RENDIMENTO UF 2010.xls,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,e6cb0365feb955a9535f314462cfc812d8178cffcd2d1ef3fecdbcb605fa3527
Rendimento Escolar,2011,data/raw/rendimento/tx_rendimento_uf_2011.xls,tx_rendimento_uf_2011.xls,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,799bbc340fa6d70199bd96cafafc5c5dab2065cc565b85ad6da8ca41bcc4da70
Rendimento Escolar,2012,data/raw/rendimento/tx_rendimento_UFs_2012.xlsx,tx_rendimento_UFs_2012.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,23ca80305a0865a330e1961eeac29af3f95049891213d2b27d738b6dbd96e8d5
Rendimento Escolar,2013,data/raw/rendimento/TAXAS RENDIMENTOS UF 2013.xlsx,TAXAS RENDIMENTOS UF 2013.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,d7fb8d1408377ca38de980a9f4047ddf332a10243db403952b7fdb41b7c62150
Rendimento Escolar,2014,data/raw/rendimento/TAXAS RENDIMENTOS UF 2014.xlsx,TAXAS RENDIMENTOS UF 2014.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,79e61ce80a65816fa4762590e7cfe00cd79007827478392562a1ddf73896d36b
Rendimento Escolar,2015,data/raw/rendimento/TX_REND_UFS_2015.xlsx,TX_REND_UFS_2015.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,f186bb269c4d78dd449df39e2a2b70c30f79724e116b2d8ef66d7a7d95d2ce9f
Rendimento Escolar,2016,data/raw/rendimento/TX_REND_UFS_2016.xlsx,TX_REND_UFS_2016.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,2f841ffb7a56f82b01a0fdce8f602a73246a5000391e406268f16e59de81c68c
Rendimento Escolar,2017,data/raw/rendimento/TX_REND_BRASIL_REGIOES_UFS_2017.xlsx,TX_REND_BRASIL_REGIOES_UFS_2017.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,f81eb47bbe854ad702a5f3ad82aeb096fa36a66cd559bcf33688408a48cb6eeb
Rendimento Escolar,2018,data/raw/rendimento/TX_REND_BRASIL_REGIOES_UFS_2018.xlsx,TX_REND_BRASIL_REGIOES_UFS_2018.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,90c46e8fe38f24fe40966feca054602c28902bdd8f99c690525e1d1c6d3c1cec
Rendimento Escolar,2019,data/raw/rendimento/tx_rend_brasil_regioes_ufs_2019.xlsx,tx_rend_brasil_regioes_ufs_2019.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,36366bb7c5f08f79ae2880a34f83e710e5fe14436234fb678fb354d58ae06979
